Question,Answer,Source,Verb,Target
How are the impacts and necessary services related?,the impacts provide necessary services,the impacts,provide,necessary services
What does the impacts provide?,necessary services,the impacts,provide,necessary services
What is the relationship between mass and 100kg weight?,is greater than or equal to,mass,lift,100kg weight
Explain the connection between mass and 100kg weight.,weight is a measure of strength,mass,lift,100kg weight
How are mass and 100kg weight related?,weight,mass,lift,100kg weight
Who or what lifts 100kg weight?,mass,mass,lift,100kg weight
What is the relationship between hormones and our body cells?,hormones reach our body cells,hormones,reach,our body cells
Explain the connection between hormones and our body cells.,hormones control our body's metabolism,hormones,reach,our body cells
How are hormones and our body cells related?,hormones reach our body cells,hormones,reach,our body cells
What reach our body cells?,hormones,hormones,reach,our body cells
Who or what reach our body cells?,hormones,hormones,reach,our body cells
What is the relationship between organisms and birth?,organisms give birth,organisms,give,birth
Explain the connection between organisms and birth.,fetuses,organisms,give,birth
How are organisms and birth related?,organisms give birth,organisms,give,birth
Who or what gives birth?,organisms,organisms,give,birth
What is the relationship between the minute solid particles and carbon?,particles of the same atomic number,the minute solid particles,like,carbon
Explain the connection between the minute solid particles and carbon.,the minute solid particles like carbon,the minute solid particles,like,carbon
How are the minute solid particles and carbon related?,minute solid particles,the minute solid particles,like,carbon
What does the minute solid particles like?,carbon,the minute solid particles,like,carbon
Who or what likes carbon?,the minute solid particles,the minute solid particles,like,carbon
What is the relationship between c. brisk effervescence and place?,location,c. brisk effervescence,take,place
Explain the connection between c. brisk effervescence and place.,effervescence is a type of effervescence,c. brisk effervescence,take,place
How are c. brisk effervescence and place related?,place,c. brisk effervescence,take,place
What does c. brisk effervescence take?,effervescence,c. brisk effervescence,take,place
Who or what takes place?,c. brisk effervescence,c. brisk effervescence,take,place
What is the relationship between todo a and the best alternative?,is a synonym for,todo a,choose,the best alternative
Explain the connection between todo a and the best alternative.,is a synonym for best alternative,todo a,choose,the best alternative
How are todo a and the best alternative related?,todo a and the best alternative,todo a,choose,the best alternative
What does todo a choose?,the best alternative,todo a,choose,the best alternative
What is the relationship between the deposition and kidneys?,kidneys,the deposition,like,kidneys
Explain the connection between the deposition and kidneys.,the deposition like kidneys,the deposition,like,kidneys
How are the deposition and kidneys related?,the deposition like kidneys,the deposition,like,kidneys
What does the deposition like?,kidneys,the deposition,like,kidneys
Who or what likes kidneys?,the deposition,the deposition,like,kidneys
What is the relationship between ways and ozone layer i?,ozone layer i is exposed to ultraviolet rays,ways,protect,ozone layer i
Explain the connection between ways and ozone layer i.,the ozone layer,ways,protect,ozone layer i
How are ways and ozone layer i related?,ways protect ozone layer i,ways,protect,ozone layer i
What protects ozone layer i?,ways,ways,protect,ozone layer i
Who or what protects ozone layer i?,ways,ways,protect,ozone layer i
What is the relationship between 18 b 6 whip and the surfaces match?,part of,18 b 6 whip,graft,the surfaces match
Explain the connection between 18 b 6 whip and the surfaces match.,the surface match,18 b 6 whip,graft,the surfaces match
How are 18 b 6 whip and the surfaces match related?,18 b 6 whip graft the surfaces match,18 b 6 whip,graft,the surfaces match
What grafts the surfaces match?,18 b 6 whip,18 b 6 whip,graft,the surfaces match
What does 18 b 6 whip graft?,surfaces,18 b 6 whip,graft,the surfaces match
Who or what grafts the surfaces match?,18 b 6 whip,18 b 6 whip,graft,the surfaces match
What is the relationship between both and the ground?,landed,both,hit,the ground
Explain the connection between both and the ground.,they were thrown into the air,both,hit,the ground
How are both and the ground related?,the ground,both,hit,the ground
Who or what hits the ground?,both,both,hit,the ground
What is the relationship between activity and a model?,is a collection of data,activity,prepare,a model
Explain the connection between activity and a model.,activity prepares a model,activity,prepare,a model
How are activity and a model related?,activity prepares a model,activity,prepare,a model
What is the relationship between injury and a person?,person's environment,injury,lead,a person
Explain the connection between injury and a person.,a person's life,injury,lead,a person
How are injury and a person related?,to die,injury,lead,a person
What is the relationship between the offsprings and their parents?,resemble,the offsprings,resemble,their parents
Explain the connection between the offsprings and their parents.,the offsprings resemble their parents,the offsprings,resemble,their parents
How are the offsprings and their parents related?,resemble,the offsprings,resemble,their parents
What does the offsprings resemble?,their parents,the offsprings,resemble,their parents
Who or what resembles their parents?,offsprings,the offsprings,resemble,their parents
What is the relationship between reptiles and this era?,dominant,reptiles,dominate,this era
Explain the connection between reptiles and this era.,apocalypse,reptiles,dominate,this era
How are reptiles and this era related?,dominant,reptiles,dominate,this era
Who or what dominated this era?,reptiles,reptiles,dominate,this era
What is the relationship between drop and both?,subclass of,drop,drop,both
Explain the connection between drop and both.,rivers flow trough valleys.,drop,drop,both
How are drop and both related?,to one another,drop,drop,both
Who or what drops both?,drop,drop,drop,both
What is the relationship between concave lens and the parallel rays?,concave lens diverges the parallel rays,concave lens,diverge,the parallel rays
Explain the connection between concave lens and the parallel rays.,concave lens diverges the parallel rays,concave lens,diverge,the parallel rays
How are concave lens and the parallel rays related?,concave lens diverge the parallel rays,concave lens,diverge,the parallel rays
What diverged the parallel rays?,concave lens,concave lens,diverge,the parallel rays
What does concave lens diverge?,parallel rays,concave lens,diverge,the parallel rays
Who or what diverged the parallel rays?,concave lens,concave lens,diverge,the parallel rays
What is the relationship between a p ixv and the number?,formula_int,a p ixv,calculate,the number
Explain the connection between a p ixv and the number.,the number of digits,a p ixv,calculate,the number
How are a p ixv and the number related?,Calculate the number,a p ixv,calculate,the number
What does a p ixv calculate?,the number,a p ixv,calculate,the number
Who or what calculated the number?,a p ixv,a p ixv,calculate,the number
What is the relationship between both the beakers and the temperature?,measure,both the beakers,measure,the temperature
Explain the connection between both the beakers and the temperature.,beakers measure temperature,both the beakers,measure,the temperature
How are both the beakers and the temperature related?,beakers measure the temperature,both the beakers,measure,the temperature
What does both the beakers measure?,temperature,both the beakers,measure,the temperature
Who or what measures the temperature?,beakers,both the beakers,measure,the temperature
What is the relationship between both and the ground?,landed,both,hit,the ground
Explain the connection between both and the ground.,they were thrown into the air,both,hit,the ground
How are both and the ground related?,the ground,both,hit,the ground
Who or what hits the ground?,both,both,hit,the ground
What is the relationship between plastics and a manmade polymer?,is a kind of polymer,plastics,mean,a manmade polymer
Explain the connection between plastics and a manmade polymer.,polymer,plastics,mean,a manmade polymer
How are plastics and a manmade polymer related?,plastics mean a manmade polymer,plastics,mean,a manmade polymer
What means a manmade polymer?,plastics,plastics,mean,a manmade polymer
Who or what means a manmade polymer?,plastics,plastics,mean,a manmade polymer
What is the relationship between thicker muscular wall and higher blood pressure?,resistance,thicker muscular wall,resist,higher blood pressure
Explain the connection between thicker muscular wall and higher blood pressure.,thicker muscular wall,thicker muscular wall,resist,higher blood pressure
How are thicker muscular wall and higher blood pressure related?,thicker muscular wall resist higher blood pressure,thicker muscular wall,resist,higher blood pressure
What resists higher blood pressure?,thicker muscular wall,thicker muscular wall,resist,higher blood pressure
What does thicker muscular wall resist?,blood pressure,thicker muscular wall,resist,higher blood pressure
Who or what resists higher blood pressure?,thicker muscular wall,thicker muscular wall,resist,higher blood pressure
What is the relationship between x chromosome and sperm male gamete fuses?,chromosome,x chromosome,contain,sperm male gamete fuses
Explain the connection between x chromosome and sperm male gamete fuses.,chromosome contains sperm male gamete fuses,x chromosome,contain,sperm male gamete fuses
How are x chromosome and sperm male gamete fuses related?,chromosome contains sperm male gamete fuses,x chromosome,contain,sperm male gamete fuses
What contains sperm male gamete fuses?,x chromosome,x chromosome,contain,sperm male gamete fuses
What does x chromosome contain?,sperm male gamete fuses,x chromosome,contain,sperm male gamete fuses
Who or what contains sperm male gamete fuses?,x chromosome,x chromosome,contain,sperm male gamete fuses
What is the relationship between activity and a fire extinguisher?,is associated with,activity,observe,a fire extinguisher
Explain the connection between activity and a fire extinguisher.,fire extinguisher,activity,observe,a fire extinguisher
How are activity and a fire extinguisher related?,activity observe a fire extinguisher,activity,observe,a fire extinguisher
What observes a fire extinguisher?,activity,activity,observe,a fire extinguisher
Who or what observes a fire extinguisher?,activity,activity,observe,a fire extinguisher
What is the relationship between automobiles and trucks?,vehicles,automobiles,like,trucks
Explain the connection between automobiles and trucks.,truck is a type of car,automobiles,like,trucks
How are automobiles and trucks related?,vehicles,automobiles,like,trucks
Who or what likes trucks?,automobiles,automobiles,like,trucks
What is the relationship between atomic weights and their position?,weights,atomic weights,justify,their position
Explain the connection between atomic weights and their position.,atomic weights are a measure of the mass of atoms.,atomic weights,justify,their position
How are atomic weights and their position related?,atomic weights justify their position,atomic weights,justify,their position
What does atomic weights justify?,their position,atomic weights,justify,their position
Who or what justify their position?,atomic weights,atomic weights,justify,their position
What is the relationship between a convex lens and the rays?,converse,a convex lens,converse,the rays
Explain the connection between a convex lens and the rays.,convex,a convex lens,converse,the rays
How are a convex lens and the rays related?,converse,a convex lens,converse,the rays
What does a convex lens converse?,rays,a convex lens,converse,the rays
Who or what converse the rays?,a convex lens,a convex lens,converse,the rays
What is the relationship between about and activity?,is a measure of,about,cut,activity
Explain the connection between about and activity.,about is a synonym for activity.,about,cut,activity
How are about and activity related?,cut activity,about,cut,activity
Who or what cuts activity?,a person,about,cut,activity
What is the relationship between direct current dc and current ac?,subclass of,direct current dc,alternate,current ac
Explain the connection between direct current dc and current ac.,direct current dc,direct current dc,alternate,current ac
How are direct current dc and current ac related?,direct current dc,direct current dc,alternate,current ac
What does direct current dc alternate?,current ac,direct current dc,alternate,current ac
Who or what alternate current ac?,direct current dc,direct current dc,alternate,current ac
What is the relationship between a child and a vaccine?,parent,a child,get,a vaccine
Explain the connection between a child and a vaccine.,a child's immune system,a child,get,a vaccine
How are a child and a vaccine related?,a child get a vaccine,a child,get,a vaccine
What does a child get?,vaccine,a child,get,a vaccine
Who or what gets a vaccine?,a child,a child,get,a vaccine
What is the relationship between an organism splits and the result?,discuss,an organism splits,discuss,the result
Explain the connection between an organism splits and the result.,organism splits,an organism splits,discuss,the result
How are an organism splits and the result related?,discuss,an organism splits,discuss,the result
What does an organism splits discuss?,the result,an organism splits,discuss,the result
Who or what discuss the result?,an organism splits,an organism splits,discuss,the result
What is the relationship between hyper secretion and exophthalmic goiter?,cause,hyper secretion,cause,exophthalmic goiter
Explain the connection between hyper secretion and exophthalmic goiter.,hypersecretion,hyper secretion,cause,exophthalmic goiter
How are hyper secretion and exophthalmic goiter related?,hyper secretion cause exophthalmic goiter,hyper secretion,cause,exophthalmic goiter
What does hyper secretion cause?,exophthalmic goiter,hyper secretion,cause,exophthalmic goiter
Who or what causes exophthalmic goiter?,hyper secretion,hyper secretion,cause,exophthalmic goiter
What is the relationship between animals sexual reproduction and place?,place,animals sexual reproduction,take,place
Explain the connection between animals sexual reproduction and place.,place,animals sexual reproduction,take,place
How are animals sexual reproduction and place related?,place,animals sexual reproduction,take,place
What does animals sexual reproduction take?,sperm,animals sexual reproduction,take,place
Who or what takes place?,animals,animals sexual reproduction,take,place
What is the relationship between c. differentiate and the following numerical problems?,is related to,c. differentiate,solve,the following numerical problems
Explain the connection between c. differentiate and the following numerical problems.,is a unit of measurement,c. differentiate,solve,the following numerical problems
How are c. differentiate and the following numerical problems related?,arithmetic,c. differentiate,solve,the following numerical problems
What solved the following numerical problems?,c. reversible,c. differentiate,solve,the following numerical problems
What does c. differentiate solve?,the following numerical problems,c. differentiate,solve,the following numerical problems
Who or what solved the following numerical problems?,c. differentiate,c. differentiate,solve,the following numerical problems
What is the relationship between reinforced cement concrete rcc and pillars?,is a type of building material,reinforced cement concrete rcc,make,pillars
Explain the connection between reinforced cement concrete rcc and pillars.,building material,reinforced cement concrete rcc,make,pillars
How are reinforced cement concrete rcc and pillars related?,building material,reinforced cement concrete rcc,make,pillars
What does reinforced cement concrete rcc make?,pillars,reinforced cement concrete rcc,make,pillars
Who or what makes pillars?,reinforced cement concrete rcc,reinforced cement concrete rcc,make,pillars
What is the relationship between that man and 980 1.67 586.8kg?,weight,that man,lift,980 1.67 586.8kg
Explain the connection between that man and 980 1.67 586.8kg.,weighted,that man,lift,980 1.67 586.8kg
How are that man and 980 1.67 586.8kg related?,they are related,that man,lift,980 1.67 586.8kg
What lifts 980 1.67 586.8kg?,that man,that man,lift,980 1.67 586.8kg
What does that man lift?,980 1.67 586.8kg,that man,lift,980 1.67 586.8kg
Who or what lifts 980 1.67 586.8kg?,that man,that man,lift,980 1.67 586.8kg
What is the relationship between a test tube and dilute hydrochloric acid?,is present in the test tube,a test tube,contain,dilute hydrochloric acid
Explain the connection between a test tube and dilute hydrochloric acid.,a test tube contain dilute hydrochloric acid,a test tube,contain,dilute hydrochloric acid
How are a test tube and dilute hydrochloric acid related?,test tube,a test tube,contain,dilute hydrochloric acid
What contains dilute hydrochloric acid?,test tube,a test tube,contain,dilute hydrochloric acid
What does a test tube contain?,dilute hydrochloric acid,a test tube,contain,dilute hydrochloric acid
Who or what contains dilute hydrochloric acid?,a test tube,a test tube,contain,dilute hydrochloric acid
What is the relationship between rain and the nutrients?,decrease,rain,decrease,the nutrients
Explain the connection between rain and the nutrients.,decrease the amount of water in the soil.,rain,decrease,the nutrients
How are rain and the nutrients related?,decrease the nutrients,rain,decrease,the nutrients
Who or what decreases the nutrients?,rain,rain,decrease,the nutrients
What is the relationship between y chromosome and male gamete fuses?,chromosome,y chromosome,contain,male gamete fuses
Explain the connection between y chromosome and male gamete fuses.,male gamete fuses,y chromosome,contain,male gamete fuses
How are y chromosome and male gamete fuses related?,y chromosome contain male gamete fuses,y chromosome,contain,male gamete fuses
What contains male gamete fuses?,y chromosome,y chromosome,contain,male gamete fuses
What does y chromosome contain?,male gamete fuses,y chromosome,contain,male gamete fuses
Who or what contains male gamete fuses?,y chromosome,y chromosome,contain,male gamete fuses
What is the relationship between the activities and the impacts?,impacts,the activities,minimize,the impacts
Explain the connection between the activities and the impacts.,reduces the amount of waste,the activities,minimize,the impacts
How are the activities and the impacts related?,activities minimize the impacts,the activities,minimize,the impacts
What does the activities minimize?,impacts,the activities,minimize,the impacts
Who or what minimize the impacts?,activities,the activities,minimize,the impacts
What is the relationship between activity and a glass?,is a glass,activity,fill,a glass
Explain the connection between activity and a glass.,a glass is made of glass,activity,fill,a glass
How are activity and a glass related?,activity fills a glass,activity,fill,a glass
Who or what fills a glass?,activity,activity,fill,a glass
What is the relationship between pollination and place?,place,pollination,take,place
Explain the connection between pollination and place.,place,pollination,take,place
How are pollination and place related?,place,pollination,take,place
Who or what takes place?,pollination,pollination,take,place
What is the relationship between concave lens and clear image?,optical properties,concave lens,produce,clear image
Explain the connection between concave lens and clear image.,optical properties,concave lens,produce,clear image
How are concave lens and clear image related?,concave lens,concave lens,produce,clear image
What does concave lens produce?,clear image,concave lens,produce,clear image
Who or what produces clear image?,concave lens,concave lens,produce,clear image
What is the relationship between what type and place?,location,what type,take,place
Explain the connection between what type and place.,place,what type,take,place
How are what type and place related?,location,what type,take,place
What does what type take?,place,what type,take,place
Who or what takes place?,type,what type,take,place
What is the relationship between astronauts and hammer?,astronauts drop hammer,astronauts,drop,hammer
Explain the connection between astronauts and hammer.,astronauts drop hammer,astronauts,drop,hammer
How are astronauts and hammer related?,astronauts drop hammer,astronauts,drop,hammer
Who or what drops hammer?,astronauts,astronauts,drop,hammer
What is the relationship between all the planets and mercury?,is in the same orbit,all the planets,except,mercury
Explain the connection between all the planets and mercury.,mercury is a planet in the solar system,all the planets,except,mercury
How are all the planets and mercury related?,planets,all the planets,except,mercury
What does all the planets except?,mercury,all the planets,except,mercury
Who or what except mercury?,all the planets,all the planets,except,mercury
What is the relationship between its own weight and a liquid?,displace,its own weight,displace,a liquid
Explain the connection between its own weight and a liquid.,gravity,its own weight,displace,a liquid
How are its own weight and a liquid related?,displace,its own weight,displace,a liquid
What does its own weight displace?,liquid,its own weight,displace,a liquid
Who or what displaces a liquid?,its own weight,its own weight,displace,a liquid
What is the relationship between insulin and the blood sugar level?,blood sugar level,insulin,reduce,the blood sugar level
Explain the connection between insulin and the blood sugar level.,blood sugar level,insulin,reduce,the blood sugar level
How are insulin and the blood sugar level related?,reduce the blood sugar level,insulin,reduce,the blood sugar level
What reduces the blood sugar level?,insulin,insulin,reduce,the blood sugar level
Who or what reduces the blood sugar level?,insulin,insulin,reduce,the blood sugar level
What is the relationship between catalyst some reaction and place?,is a synonym for,catalyst some reaction,take,place
Explain the connection between catalyst some reaction and place.,chemical reaction,catalyst some reaction,take,place
How are catalyst some reaction and place related?,catalyst some reaction take place,catalyst some reaction,take,place
What does catalyst some reaction take?,kinetic energy,catalyst some reaction,take,place
Who or what takes place?,reaction,catalyst some reaction,take,place
What is the relationship between activity and the chart?,is a diagram,activity,draw,the chart
Explain the connection between activity and the chart.,activity is a group of people,activity,draw,the chart
How are activity and the chart related?,activity,activity,draw,the chart
Who or what draws the chart?,activity,activity,draw,the chart
What is the relationship between dinosaurs and the earth?,dominant,dinosaurs,dominate,the earth
Explain the connection between dinosaurs and the earth.,Earth's crust,dinosaurs,dominate,the earth
How are dinosaurs and the earth related?,dinosaurs dominate the earth,dinosaurs,dominate,the earth
Who or what dominated the earth?,dinosaurs,dinosaurs,dominate,the earth
What is the relationship between their own velocity and a revolution?,complete,their own velocity,complete,a revolution
Explain the connection between their own velocity and a revolution.,their own velocity completes a revolution,their own velocity,complete,a revolution
How are their own velocity and a revolution related?,their own velocity completes a revolution,their own velocity,complete,a revolution
What does their own velocity complete?,revolution,their own velocity,complete,a revolution
Who or what complete a revolution?,their own velocity,their own velocity,complete,a revolution
What is the relationship between locate and their position?,place of birth,locate,locate,their position
Explain the connection between locate and their position.,they are in a position,locate,locate,their position
How are locate and their position related?,their position,locate,locate,their position
Who or what located their position?,location,locate,locate,their position
What deoxygenates valve blood circulation?,superior venacava,superior venacava returns,deoxygenate,valve blood circulation
Who or what deoxygenates valve blood circulation?,superior venacava,superior venacava returns,deoxygenate,valve blood circulation
What is the relationship between half and the masses?,keep half,half,keep,the masses
Explain the connection between half and the masses.,half is the opposite of half.,half,keep,the masses
How are half and the masses related?,half keep the masses,half,keep,the masses
Who or what keeps the masses?,half,half,keep,the masses
What is the relationship between the plants and quality seeds?,plants produce quality seeds,the plants,produce,quality seeds
Explain the connection between the plants and quality seeds.,flowering,the plants,produce,quality seeds
How are the plants and quality seeds related?,plants,the plants,produce,quality seeds
What does the plants produce?,quality seeds,the plants,produce,quality seeds
Who or what produces quality seeds?,plants,the plants,produce,quality seeds
What is the relationship between gases and the ozone layer?,damage,gases,damage,the ozone layer
Explain the connection between gases and the ozone layer.,ozone layer,gases,damage,the ozone layer
How are gases and the ozone layer related?,damage,gases,damage,the ozone layer
What damages the ozone layer?,gases,gases,damage,the ozone layer
Who or what damages the ozone layer?,gases,gases,damage,the ozone layer
What is the relationship between activity and a nearby beekeeping farm?,is related to,activity,visit,a nearby beekeeping farm
Explain the connection between activity and a nearby beekeeping farm.,beekeeper,activity,visit,a nearby beekeeping farm
How are activity and a nearby beekeeping farm related?,activity visit a nearby beekeeping farm,activity,visit,a nearby beekeeping farm
What visits a nearby beekeeping farm?,activity,activity,visit,a nearby beekeeping farm
Who or what visits a nearby beekeeping farm?,activity,activity,visit,a nearby beekeeping farm
What is the relationship between y chromosome and male gamete fuses?,chromosome,y chromosome,contain,male gamete fuses
Explain the connection between y chromosome and male gamete fuses.,male gamete fuses,y chromosome,contain,male gamete fuses
How are y chromosome and male gamete fuses related?,y chromosome contain male gamete fuses,y chromosome,contain,male gamete fuses
What contains male gamete fuses?,y chromosome,y chromosome,contain,male gamete fuses
What does y chromosome contain?,male gamete fuses,y chromosome,contain,male gamete fuses
Who or what contains male gamete fuses?,y chromosome,y chromosome,contain,male gamete fuses
What is the relationship between a device and solar energy?,is a source of energy,a device,convert,solar energy
Explain the connection between a device and solar energy.,solar energy,a device,convert,solar energy
How are a device and solar energy related?,convert solar energy,a device,convert,solar energy
What does a device convert?,solar energy,a device,convert,solar energy
Who or what converts solar energy?,device,a device,convert,solar energy
What is the relationship between its upper part and the tyre?,part,its upper part,touch,the tyre
Explain the connection between its upper part and the tyre.,it touches the tyre,its upper part,touch,the tyre
How are its upper part and the tyre related?,its upper part touch the tyre,its upper part,touch,the tyre
What does its upper part touch?,tyre,its upper part,touch,the tyre
Who or what touch the tyre?,its upper part,its upper part,touch,the tyre
What is the relationship between the greater distance and the blood?,pump,the greater distance,pump,the blood
Explain the connection between the greater distance and the blood.,"the greater the distance, the greater the blood pressure.",the greater distance,pump,the blood
How are the greater distance and the blood related?,the greater distance pump the blood,the greater distance,pump,the blood
What does the greater distance pump?,blood,the greater distance,pump,the blood
Who or what pumps the blood?,greater distance,the greater distance,pump,the blood
What is the relationship between 4 hr per week and 2 electric iron of?,consumed,4 hr per week,consume,2 electric iron of
Explain the connection between 4 hr per week and 2 electric iron of.,consumption,4 hr per week,consume,2 electric iron of
How are 4 hr per week and 2 electric iron of related?,4 hr per week consume 2 electric iron of,4 hr per week,consume,2 electric iron of
What consumed 2 electric iron of?,4 hr per week,4 hr per week,consume,2 electric iron of
What does 4 hr per week consume?,2 electric iron,4 hr per week,consume,2 electric iron of
Who or what consumed 2 electric iron of?,4 hr per week,4 hr per week,consume,2 electric iron of
What is the relationship between excessive use and water pollution?,causes,excessive use,cause,water pollution
Explain the connection between excessive use and water pollution.,excessive use causes water pollution,excessive use,cause,water pollution
How are excessive use and water pollution related?,excessive use cause water pollution,excessive use,cause,water pollution
What does excessive use cause?,water pollution,excessive use,cause,water pollution
Who or what causes water pollution?,excessive use,excessive use,cause,water pollution
What is the relationship between efyen and the differences?,mention,efyen,mention,the differences
Explain the connection between efyen and the differences.,efyen is a symphony,efyen,mention,the differences
How are efyen and the differences related?,mention,efyen,mention,the differences
Who or what mentions the differences?,efyen,efyen,mention,the differences
What is the relationship between a concave lens and the rays?,diverge,a concave lens,diverge,the rays
Explain the connection between a concave lens and the rays.,concave lens,a concave lens,diverge,the rays
How are a concave lens and the rays related?,diverge,a concave lens,diverge,the rays
What does a concave lens diverge?,rays,a concave lens,diverge,the rays
Who or what diverged the rays?,a concave lens,a concave lens,diverge,the rays
What is the relationship between oxides and the ozone layer?,deplete,oxides,deplete,the ozone layer
Explain the connection between oxides and the ozone layer.,depletes the ozone layer,oxides,deplete,the ozone layer
How are oxides and the ozone layer related?,deplete the ozone layer,oxides,deplete,the ozone layer
What delete the ozone layer?,oxides,oxides,deplete,the ozone layer
Who or what delete the ozone layer?,oxides,oxides,deplete,the ozone layer
What is the relationship between asexual reproduction and splitting?,asexual reproduction,asexual reproduction,take,splitting
Explain the connection between asexual reproduction and splitting.,asexual reproduction takes asexual reproduction,asexual reproduction,take,splitting
How are asexual reproduction and splitting related?,sexual reproduction,asexual reproduction,take,splitting
What does asexual reproduction take?,splitting,asexual reproduction,take,splitting
Who or what takes splitting?,asexual reproduction,asexual reproduction,take,splitting
What is the relationship between small heavenly bodies and the sun?,axis,small heavenly bodies,round,the sun
Explain the connection between small heavenly bodies and the sun.,small heavenly bodies orbit the sun,small heavenly bodies,round,the sun
How are small heavenly bodies and the sun related?,small heavenly bodies round the sun,small heavenly bodies,round,the sun
What does small heavenly bodies round?,the sun,small heavenly bodies,round,the sun
Who or what rounds the sun?,heavenly bodies,small heavenly bodies,round,the sun
What is the relationship between 18 b 6 whip and the surfaces match?,part of,18 b 6 whip,graft,the surfaces match
Explain the connection between 18 b 6 whip and the surfaces match.,the surface match,18 b 6 whip,graft,the surfaces match
How are 18 b 6 whip and the surfaces match related?,18 b 6 whip graft the surfaces match,18 b 6 whip,graft,the surfaces match
What grafts the surfaces match?,18 b 6 whip,18 b 6 whip,graft,the surfaces match
What does 18 b 6 whip graft?,surfaces,18 b 6 whip,graft,the surfaces match
Who or what grafts the surfaces match?,18 b 6 whip,18 b 6 whip,graft,the surfaces match
What is the relationship between air weight and weight?,is proportional to the mass of the object,air weight,thrust,weight
Explain the connection between air weight and weight.,is a measure of the mass of an object,air weight,thrust,weight
How are air weight and weight related?,weight is a measure of the mass of an object,air weight,thrust,weight
What does air weight thrust?,weight,air weight,thrust,weight
Who or what thrusts weight?,air,air weight,thrust,weight
What is the relationship between position and the elements?,element,position,arrange,the elements
Explain the connection between position and the elements.,elements can be arranged in a particular way.,position,arrange,the elements
How are position and the elements related?,elements,position,arrange,the elements
Who or what arranged the elements?,position,position,arrange,the elements
What is the relationship between order and the escaping?,prevent,order,prevent,the escaping
Explain the connection between order and the escaping.,order prevents the escaping,order,prevent,the escaping
How are order and the escaping related?,order prevents the escaping,order,prevent,the escaping
Who or what prevents the escaping?,order,order,prevent,the escaping
What is the relationship between these planets revolve and the sun?,planets,these planets revolve,round,the sun
Explain the connection between these planets revolve and the sun.,planets revolve around the sun,these planets revolve,round,the sun
How are these planets revolve and the sun related?,these planets revolve round the sun,these planets revolve,round,the sun
What does these planets revolve round?,the sun,these planets revolve,round,the sun
Who or what rounds the sun?,these planets,these planets revolve,round,the sun
What is the relationship between acids and the colour?,a chemical reaction,acids,change,the colour
Explain the connection between acids and the colour.,a chemical reaction,acids,change,the colour
How are acids and the colour related?,change the colour,acids,change,the colour
Who or what changes the colour?,acids,acids,change,the colour
What is the relationship between sympathetic nervous system and blood pressure?,increase blood pressure,sympathetic nervous system,increase,blood pressure
Explain the connection between sympathetic nervous system and blood pressure.,sympathetic nervous system,sympathetic nervous system,increase,blood pressure
How are sympathetic nervous system and blood pressure related?,sympathetic nervous system,sympathetic nervous system,increase,blood pressure
What does sympathetic nervous system increase?,blood pressure,sympathetic nervous system,increase,blood pressure
Who or what increases blood pressure?,sympathetic nervous system,sympathetic nervous system,increase,blood pressure
What is the relationship between meiosis and characters?,character's relationship to meiosis,meiosis,contrast,characters
Explain the connection between meiosis and characters.,characters are a part of a story.,meiosis,contrast,characters
How are meiosis and characters related?,meiosis and characters are related,meiosis,contrast,characters
Who or what contrasts characters?,meiosis,meiosis,contrast,characters
What is the relationship between such wastes and the fertility?,reduce,such wastes,reduce,the fertility
Explain the connection between such wastes and the fertility.,wastes are a source of fertilizer.,such wastes,reduce,the fertility
How are such wastes and the fertility related?,reduce the fertility,such wastes,reduce,the fertility
What does such wastes reduce?,fertility,such wastes,reduce,the fertility
Who or what reduces the fertility?,wastes,such wastes,reduce,the fertility
What is the relationship between optical nerves and this information?,is a grammatical unit,optical nerves,carry,this information
Explain the connection between optical nerves and this information.,sensory information,optical nerves,carry,this information
How are optical nerves and this information related?,optical nerves carry this information,optical nerves,carry,this information
What does optical nerves carry?,information,optical nerves,carry,this information
Who or what carry this information?,optical nerves,optical nerves,carry,this information
What is the relationship between the substances and global warming?,cause,the substances,cause,global warming
Explain the connection between the substances and global warming.,carbon dioxide,the substances,cause,global warming
How are the substances and global warming related?,substances cause global warming,the substances,cause,global warming
What does the substances cause?,global warming,the substances,cause,global warming
Who or what causes global warming?,substances,the substances,cause,global warming
What is the relationship between the urine and soil pollution?,cause,the urine,cause,soil pollution
Explain the connection between the urine and soil pollution.,irritates the soil,the urine,cause,soil pollution
How are the urine and soil pollution related?,cause soil pollution,the urine,cause,soil pollution
What does the urine cause?,soil pollution,the urine,cause,soil pollution
Who or what causes soil pollution?,urine,the urine,cause,soil pollution
What is the relationship between activity and the best alternatives?,is the sum of all the choices made by the activity,activity,choose,the best alternatives
Explain the connection between activity and the best alternatives.,activity is a way of thinking,activity,choose,the best alternatives
How are activity and the best alternatives related?,activity and the best alternatives,activity,choose,the best alternatives
What is the relationship between 7. nuclear test and water pollution?,cause,7. nuclear test,cause,water pollution
Explain the connection between 7. nuclear test and water pollution.,nuclear testing is a form of nuclear testing.,7. nuclear test,cause,water pollution
How are 7. nuclear test and water pollution related?,nuclear test cause water pollution,7. nuclear test,cause,water pollution
What does 7. nuclear test cause?,water pollution,7. nuclear test,cause,water pollution
Who or what causes water pollution?,nuclear test,7. nuclear test,cause,water pollution
What is the relationship between joseph black and carbon dioxide?,is a gas,joseph black,prepare,carbon dioxide
Explain the connection between joseph black and carbon dioxide.,is a chemical,joseph black,prepare,carbon dioxide
